Title,Authors,Description,Category,Publisher,Price Starting With ($),Publish Date (Month),Publish Date (Year)
Plumage,"By Springer, Nancy","After being dumped by her husband after twenty-seven years of marriage, Sassy Hummel lands a job housekeeping for the Sylvan Towers Hotel, where a new friend, Racquel, will help her discover a side of herself she never considered."," Fiction , General",Perennial,5.37,November,2000
The Fundamentals of Play: A Novel,"By Macy, Caitlin","Caitlin Macy's remarkable first novel is an evocation of a time and a place in which those things that were always so dependable--money, class, family--are threatened on all sides.Narrated by George Lenhart, scion of a family who lost their fortune but not their good name, The Fundamentals of Play follows five friends from prep school as they enter adult life in New York City in the aimless, early nineties, before the internet explosion. They work entry-level jobs at investment banks, spend weekends in the Hamptons. At their center is the fickle, elusive Kate Goodenow.  Everyone is in love with Kate and only George understands her heart was captured long ago, and for good. Hailed as a Great Gatsby for the end of the twentieth century--The Fundamentals of Play introduces a brilliant new Lost Generation longing to live careless lives, while the situations around them are increasingly fraught with importance--and the world threatens to leave them behind."," Fiction , Urban",Anchor,5.29,July,2001
Improvised Europeans: American Literary Expatriates In London,"By Zwerdling, Alex","At the turn of the century the United States seemed poised to overtake its European rivals on all fronts; its many strengths were finally being recognized—the wealth of resources, the profusion of ideas and innovation, and the artistic talent of its citizens. American power was expanding and American writers—including Emerson, Thoreau, Hawthorne, and Whitman—were acclaimed at home and abroad. England’s condescending air toward America had already become inappropriate. The United States had reached a new level of respectability in the world. In light of this favorable international climate, why then did some of America’s most talented young writers travel to London to become, as Henry Adams put it, ”improvised Europeans”?Few writers have been studied and analyzed as much as the quartet at the heart of this book. But Alex Zwerdling was perplexed by this shared and often overlooked aspect of their background: Why, at the dawn of the American century, did these writers choose to go ”back” to what was called ”the Old World”? And why would these brilliant thinkers include in some of their most acclaimed work material that is today reviled as offensive—anti-Semetic, racist, anti-feminist? What was happening in the United States that repelled them? In striving to answer these questions, Alex Zwerdling illuminates the lives and careers of Henry Adams, Henry James, T.S. Eliot, and Ezra Pound as never before.These men chose to live their lives abroad at a crucial point in American history, both domestically and internationally. The massive influx of immigrants from Southern and Eastern Europe began to whittle away the Anglo-Saxon majority. The end of slavery created a renewal of efforts to make true the Constitution’s claim to universal equality. Women’s confidence and authority grew as they fought for independence and their own rights. These developments, Zwerdling argues, were large factors in why these four writers fled. He examines their works and their lives in the context of the American scene they left, and also in the context of the British scene they left for. His brilliant cultural history uses personal correspondence, unprinted articles, and other previously unknown sources to unravel the historical forces that shaped these literary lions. Depicting their careers as a roller-coaster ride through alien territory, the book shows that they produced extraordinary work in the midst of perpetual friction, indifferece, and even active hostility."," Literary Criticism , American , General",Basic Books,5.7,May,1998
Forever Beautiful With Rex: Makeup Strategies for the Rest of Your Life,"By Jewell, Diana Lewis, Rex (ILT), and Rex","The best-selling creators of Making Up demonstrate the principles of beauty for women of all ages, presenting full-color illustrations and photographs of real-life models that stress that every age has its own unique beauty. 25,000 first printing.",,Clarkson Potter,6,May,1994
"Best Places to Stay in the Caribbean, Sixth Edition","By Jamison, Cheryl Alters, Jamison, Bill, and Shaw, Bruce","The most comprehensive guide to outstanding, distinctive lodging options in the CaribbeanNo fee accepted for inclusionAlmost every kind of vacation experience is available in the Caribbean, but the first step toward reaching your vacation aspirations is choosing the right place to stay. This guide is designed to help you find what you want among lodging options that vary enormously in personality, amenities, beach accessibility, sports facilities, and other features.  Based on firsthand visits and extensive research, this completely revised and updated edition of BEST PLACES TO STAY IN THE CARIBBEAN recommends hundreds of accommodations throughout the Caribbean islands. * Romantic Hideaways* Chic Resorts* Family Favorites* Elegant Inns* Country Club and All-Inclusive Resorts* Beachfront Bargains* Affordable Inns and Guest Houses* Adventure Retreats"," Travel , Caribbean & West Indies",Mariner Books,4.99,September,2000
Solve Your Child's Sleep Problems,"By Ferber, Richard","You've tried everything. Warm milk. Bedtime stories. Sharing your bed. But your child still has problems falling asleep. Dr. Richard Ferber can help. Director of the Sleep Laboratory and Center for Pediatric Sleep Disorders at Children's Hospital in Boston, Dr. Ferber is widely recognized as the nation's leading authority on children's sleep problems.  Practical and easy to understand, Solve Your Childs' Sleep Problems tells you how to handle these situations in children aged one to six:  * Refusing to go to bed * Colic and other medical problems * Restlessness and insomnia * Night terrors * Bedwetting * Headbanging and body rocking  And other problems that keep you and your child awake in the night.  Based on six years of intensive research in a top medical facility, Solve Your Child's Sleep Problems is packed with tips, suggestions, sample problems and solutions, and a bibliography of children's ""go-to-sleep"" books."," Family & Relationships , Parenting , General",Fireside,4.99,April,1986
All Japan: The Catalogue of Everything Japanese,"By Dalby, Liza",,,William Morrow & Co,10.99,October,1984
The World Of Biblical Literature,"By Alter, Robert","Alter reflects on the paradoxes inherent in considering the Bible as literature, building on and in some cases taking issue with the new wave of literary and biblical studies to reexamine the elusive texts. Annotation copyright Book News, Inc. Portland, Or."," Religion , General",Basic Books,5.29,March,1992
Geography and Development: A World Regional Approach,By FISHER,,,Longman Higher Education Division (a Pearson Education company),7.74,January,1989
Dissection of the Fetal Pig,"By Walker, Warren F.",,,W H Freeman & Co,5.29,May,1980
Search for Spring,"By Miller, Moira and Deuchar, Ian (ILT)","Mystified by the change of seasons, a curious boy sets out to find where Spring has gone",,Dial,4.99,March,1988
Death bed: A detective story,"By Greenleaf, Stephen","After taking on two unrelated cases, San Francisco investigator John Tanner soon discovers several interconnecting pieces linking both missing persons",,Dial Press,5.29,January,1980
Caring and Coping When Your Loved One is Seriously Ill,"By Grollman, Earl A.","When someone you care about develops a serious illness, your own world is often turned upside down as well. In his gentle, straightforward style, Earl Grollman shows how you can best support the person who is ill-and handle your own emotions, too. A completely updated resource section lists organizations throughout the United States and Canada."," Self-help , Personal Growth , General",Beacon Press,5.29,December,1995
Voice Lessons: On Becoming a (Woman) Writer,"By Mairs, Nancy","Voice Lessons is a book about writing from a woman with a remarkable story to tell and an utterly distinctive voice in which to tell it. Nancy Mairs's essays have been called ""triumphs... of will, style, candor, thought and even form"" (Los Angeles Times). She has won acclaim for her autobiographical writing on themes from living with depression to renewing a marriage, from sex to religion. In Voice Lessons, Mairs's subjects are literary, but as always her approach is personal, revealing, and inspiring. Mairs first shares her sharply drawn story on how ""finding a voice"" as an essayist transformed her life when she was a graduate student, wife, and mother in her late thirties. In a tribute to the liberating power of literature and feminist ideas, she shows how the words of other writers made possible a new career, a new life in difficult times. Voice Lessons goes on to explore other women's writing and to outline a singular kind of literary life. Always grounding her writing in personal experience, always making ideas concrete, Mairs gives us essays on writing and the body, the challenges of autobiography, the revelatory power of Virginia Woolf and Alice Walker, the literature of personal disaster, and the art of dealing with rejection. Articulate, witty, incisive, and inspirational, Voice Lessons is a book for writers and aspiring writers, and for everyone who loves women's writing."," Literary Criticism , General",Beacon Press,5.29,January,1997
The New Face of Terrorism: Threats from Weapons of Mass Destruction,"By Cole, Benjamin and Gurr, Nadine","Examines and assesses the new style of terrorism by small groups, cults and individuals with access to chemical, nuclear or biological weapons.  The authors follow the reasons and methods for the emergence of massively destructive terrorism, evaluate its strategic and tactical uses as well as its problems (from a terrorist's perspective), and offers information and opinions on the increasing problem of state-sponsored terrorism. Argues that while it is counterproductive to exaggerate the threat, governments need to be vigilant in squelching the flow of weapons of mass destruction in the face of a possible doomsday disaster. Appendix lists known cases of biological, nuclear and chemical terrorism or threats thereof. Distributed by Palgrave. Annotation c. Book News, Inc., Portland, OR (booknews.com)"," Social Science , Criminology",I.B. Tauris,5.29,October,2000
"The Rich Are Different: A Priceless Treasury of Quotations and Anecdotes About the Affluent, the Posh, a nd the Just Plain Loaded","By Winokur, Jon (EDT)","""The very rich are different from you and me,"" said F. Scott Fitzgerald.  How different?  Well, Ivana Trump so abhors footprints on the carpet that she has the rooms in her home freshly vacuumed before she enters them.  Christina Onassis used to have Diet Coke flown to her by private jet.  And the elite members of San Francisco's Union Pacific Club needn't worry about handling dirty money, since every coin the enters the institution is scoured by the kitchen staff.These are just a few of the hilariously outrageous facts and anecdotes that Jon Winokur has assembled in this eye-popping field guide to the habits of the equestrian class.  From the schlock of the Nouveau to the stinginess of Old Money, here are the follies and foibles of such plutocrats as William Vanderbilt and Leona Helmsley, Aristotle Onassis and Doris Duke.  You'll learn how the super-rich get, conserve and squander their fortunes; how they thwart tax collectors, buy legislative bodies (not to mention entire countries), and literally get away with murder.  Here are a few of the most delicious: * The Sultan of Brunei flew the Teenage Mutant Ninja Turtles to London for his son's ninth birthday party at a cost of $1 million.* Asked why she was carried everywhere by a burly attendant, Barbara Hutton replied, ""Why should I walk when I can hire someone to do it for me?""* When the late Time Warner boss Steve Ross flew his wife and two other couples to Mexico one Christmas, the trip required two corporate planes: One for people and one for gifts.* Donald Trump's 727 had 24-karat-gold seat-belt buckles.* The teenage Doris Duke's limousine was equipped with a panic button she could push whenever a boy tried to kiss her."," Humor , Form , Parodies",Pantheon,5.29,October,1996
Mensa Presents Number Puzzles for Math Geniuses: 200 Fiendish and Intriguing Mind Games,"By Gale, Harold","Pit your wits against the number crunchers at Mensa Publications who have devised this demonic collection of over 200 mind-boggling number puzzles.These are fun puzzles, but they are by no means easy. If you can solve them, you'll be a candidate for Mensa -- the internationally famous high-IQ society!"," Games , Puzzles",Random House Puzzles & Games,5.29,May,1993
Nine Innings,"By Okrent, Daniel","You'll never watch baseball the same way again. A timeless baseball classic and a must read for any fan worthy of the name, Nine Innings dissects a single baseball game played in June 1982 -- inning by inning, play by play. Daniel Okrent, a seasoned writer and lifelong fan, chose as his subject a Milwaukee Brewers<endash>Baltimore Orioles matchup, though it could have been any game, because, as Okrent reveals, the essence of baseball, no matter where or when it's played, has been and will always be the same. In this particular moment of baseball history you will discover myriad aspects of the sport that are crucial to its nature but so often invisible to the fans -- the hidden language of catchers' signals, the physiology of pitching, the balance sheet of a club owner, the gait of a player stepping up to the plate. With the purity of heart and unwavering attention to detail that characterize our national pastime, Okrent goes straight to the core of the world's greatest game. You'll never watch baseball the same way again."," Sports & Recreation , Baseball , Essays & Writings",Book Sales,4.99,March,1985
Real Lace: America's Irish Rich,"By Birmingham, Stephen",,,Harper & Row,8.79,January,1973
Call To Home: African Americans Reclaim The Rural South,"By Stack, Carol B.","Many books have told the epic story of the black migration from the South, a migration that by the 1970s had all but stopped. Instead, one by one African Americans began returning to some of the least promising places, places the Department of Agriculture calls ""persistent poverty counties."" In Call to Home, Carol Stack tells us why.Here are the stories of people trading their apartments in the city for trailers, old cabins, or brick houses built along dusty Southern back roads. Some were pushed rather than drawn back by rootlessness, joblessness, and urban decay. Others, made stronger by the uncompromising demands of city life, came home determined to apply the hard lessons they'd learned up north to build new lives in the South. Still others returned to recover what they had lost. Children often were sent home first, either to be cared for or to help care for grandparents who never left.Call to Home is the story of hardships - of starting over, of poverty, of rural life - but is also the story of success, of how people determined to build real communities and to set things right helped to establish the right of black Americans to participate as full citizens in the American South."," Social Science , Ethnic Studies , African American Studies",Basic Books,5.29,April,1996
The Ordinary Seaman,"By Goldman, Francisco and Golman, Francisco","The Ordinary Seaman, the second novel from acclaimed writer Francisco Goldman is a lyrical and spellbinding story of hope, despair, and the promise of love. The ordinary seaman is Esteban, a 19-year-old veteran of the war in Nicaragua, who has come to America with 14 other men to form the crew of the Urus. Docked on a desolate Brooklyn pier, the Urus is a wreck, and the men, without the means to return home, become its prisoners. Esteban, haunted by the loss of his first love in the war, gradually works up the courage to escape the ship and start a new life in the city. His story and those of his shipmates come to life, illuminating the conflicts and triumphs of the human heart."," Fiction , General",Grove Press,4.99,January,1998
"Taking on the World: Joseph and Stewart Alsop, Guardians of the American Century","By Merry, Robert W.","In 1948 the column-writing Alsop brothers produced an article for the Saturday Evening Post, then the country's preeminent weekly magazine. Its title: ""Must America Save the World?"" Their answer was a resounding yes. Indeed, Joseph and Stewart Alsop were there in those heady postwar years when the country's foreign-policy elite created what became known as the American Century. As men of words, they served as confidants of and cheerleaders for the men of deeds, who came largely from the country's patrician class.The Alsop brothers were themselves sons of this class. Theodore Roosevelt was the brothers' great-uncle. Eleanor Roosevelt was their mother's first cousin. They grew up with members of this Anglo-Saxon elite, went to school with them, socialized with them. And they threw the considerable weight of their column behind the efforts of these statesmen to refashion the world. Writing four times a week, they appeared in nearly two hundred newspapers; their work also graced the pages of the major magazines of the time. Thus, they wielded immense influence throughout the nation from the victory in World War II to the defeat in Vietnam.Stewart was a political analyst of rare acumen, while Joe, his older brother, was a curmudgeon with an aristocratic bearing and a biting wit. He once likened a dinner at Lyndon Johnson's to ""going to an opera in which one man sings all the parts."" He was a friend and confidant of John Kennedy, a teacher of Washington ways to Jackie Kennedy. When he called people in the highest echelons of officialdom, they responded.In Taking On the World, Robert W. Merry, a Washington insider himself, has fashioned an intricate and fascinating combination of biography and narrative history. As Mr. Merry puts it, ""Within the lifetime of the Alsop brothers the country was remade. And its remaking illuminates their careers, just as their careers illuminate the American Century."" Robert Merry casts brilliant light on these two remarkable men, and on one of the most tumultuous periods of the country's history."," Biography & Autobiography , General",Viking Adult,4.99,February,1996
"Born to Rebel: Birth Order, Family Dynamics, and Creative Lives","By Sulloway, Frank J.","Why are individuals from the same family often no more similar in personality than those from different families? Why, within the same family, do some children conform to authority whereas others rebel? The family, it turns out, is not a ""shared environment"" but rather a set of niches that provide siblings with different outlooks.At the heart of this pioneering inquiry into human development is a fundamental insight: that the personalities of siblings vary because they adopt different strategies in the universal quest for parental favor. Frank J. Sulloway's most important finding is that eldest children identify with parents and authority, and support the status quo, whereas younger children rebel against it. Drawing on the work of Darwin and the new sciences of evolutionary psychology, he transforms our understanding of personality development and its origins in family dynamics.Most persuasively, Sulloway's findings offer conclusive evidence that the family, with its powerful interpersonal dynamics, is a cauldron for the great revolutionary advances that drive historical change. Through his analysis of revolutions in social and scientific thought, from the Reformation to Darwin's theory of natural selection, Sulloway demonstrates that the primary engine of history is located within families, not between them, as Marx believed.This landmark work illuminates the crucial influence that family niches have on personality, and documents the profound consequences of sibling competition - not only on individual development within the family, but on society as a whole. Born to Rebel's pathbreaking insights promise to revolutionize the nature of psychological, sociological, and historical inquiry."," Psychology , Applied Psychology",Pantheon,8.79,October,1996
The Monitor Chronicles : One Sailor's Account : Today's Campaign to Recover the Civil War Wreck,"By Mariners' Museum (Newport News, Va.) (COR), Geer, George S. (EDT), and Marvel, William (EDT)","Marking the ongoing efforts to recover the 136-year-old wreck of the USS Monitor, The Mariners' Museum presents a lavishly illustrated commemorative volume of the renowned Civil War ironclad's past and present.  The short, fabled life of the USS Monitor began on January 30, 1862, at Green Point, Brooklyn, New York, and ended on December 31 of that same year, when the legendary Civil War ironclad sank in 230 feet of water off Cape Hatteras, North Carolina. Serving on the Monitor -- where engines and living space lay completely below the waterline and the iron deck rose a scant eighteen inches above it -- was like no other duty in the U.S. Navy. The Monitor Chronicles brings shipboard experience to life through the words of Civil War sailor George S. Geer, whose never-before-published letters home to his beloved wife, Martha, faithfully chronicle the events of that dramatic year. Like many men of his station, George Geer had joined Abraham Lincoln's navy less to help save the Union than to earn money and learn a reliable trade, so his accounts are unflinchingly honest -- at times colored by the bravado of a man at war, at others tinged with the pathos of a man in danger and far from home. When, on the morning of March 9, 1862, the Monitor and the CSS Virginia fought the first battle between ironclad warships, Geer recalled,""I often thought of you and the little darlings when the fight was going on and what should become of you should I be killed....But I should have no more such fears as our ship resisted everything they could fire at her as though they were spit balls."" Whether he sweated in the searing heat or simply waited while the Monitor danced a strategic minuet with the enemy, his words confirm and amplify the proud legacy of the vessel whose very existence brought an end to the era of wooden warships. On January 2, 1863, Geer reported, ""I am sorry to have to write you that we have lost the Monitor."" He survived, but sixteen men were lost in a raging sea that seemed to have claimed the ship for eternity. But the story told in The Monitor Chronicles doesn't end there. The book captures a piece of living history, as men and machines attempt to recover the wreck even as it begins to succumb to the elements after 136 years on the ocean floor. Because The Mariners' Museum serves as the official repository of the USS Monitor National Marine Sanctuary, readers will be treated to spectacular underwater views of the Monitor, as well as to an unprecedented look at the salvage efforts. Although more than a century has passed since the ship itself sailed into history, The Monitor Chronicles provides not only a fresh, uniquely intimate view of the Monitor's fateful year as the world's first iron warship but also a provocative glimpse of"," History , Military , Naval",Simon & Schuster,19.7,July,2000
Fire in My Soul,"By Lester, Joan Steinau and Norton, Eleanor Holmes","Here is the remarkable story of U.S. Congresswoman Eleanor Holmes Norton -- impassioned civil rights activist, hard-driving legislator, and one of the most powerful women in American history.  They call her the ""Warrior on the Hill,"" acknowledging the battles she's waged as a political pioneer across more than four decades of American history. Perhaps more than anyone else, she has taken to heart Eleanor Roosevelt's famous pronouncement that ""every political woman needs to develop skin as tough as rhinoceros hide.""  Joan Steinau Lester shared much of the last forty years with Eleanor Holmes Norton. They met in 1958 when they were both students at Antioch College. Now an acclaimed author, Lester shares her friendship with the congresswoman and tells the story of one woman's rise to leadership. Charting forty years of political and personal challenge, Fire in My Soul shows Norton marching on the Capitol to demand a Senate hearing for Anita Hill; grilling Army generals about sex abuse; arguing before the Supreme Court to uphold first amendment rights, even for a segregationist; and much more. Norton's story is organically linked to Washington, D.C., home to her family for four generations, and reveals why she is now the voice of the city.  This fascinating biography, told largely in Norton's words, showcases as never before the many facets of a woman who remains an iconic torch-bearer for the legacy of the Civil Rights Movement. Scores of conversations with Norton and nearly a hundred interviews with colleagues, family, and friends have made Fire in My Soul a remarkable document of how one extraordinary woman helped to effect lasting change in the ways we interact across racial and gender lines."," Biography & Autobiography , Political",Atria,5.53,January,2003
Maryland Wits and Baltimore Bards: A Literary History with Notes on Washington Writers (Maryland Paperback Bookshelf),"By Shivers, Frank R.","In this first comprehensive literary history of Baltimore and Maryland (with notes on Washington writers), Frank R. Shivers, Jr., explores the region's long-overlooked but substantial contribution to American letters. In picture and story, Shivers's lively account ranges from the colonial satire of Ebenezer Cook, to the National Anthem of Francis Scott Key, to the acclaimed works of Poe, Mencken, and Fitzgerald. Here are surprising stories of Frederick Douglass, Walt Whitman, Dashiel Hammett, Gertrude Stein, John Dos Passos, and other writers influenced by Chesapeake culture—an influence still fresh in the work of such contemporary writers as John Barth, Anne Tyler, and Russell Baker. ""Nothing,"" wrote Gertrude Stein, ""really can stop anyone living and feeling as they do in Baltimore."" As entertaining as it is informative, Maryland Wits and Baltimore Bards shows us why."," History , United States , State & Local , Middle Atlantic (DC, DE, MD, NJ, NY, PA)",Johns Hopkins University Press,4.99,January,1998
War Babies,"By Busch, Frederick","Peter Santore, the narrator, is an American lawyer in his mid-thirties come to England to track down a certain Hilary Pennels, the daughter of a Korean War hero who died in a POW camp, the same camp in which Peter's own father turned traitor and whose informing became, perhaps, the cause of Hilary's father's death. Only Hilary's guardian, Fox himself a survivor of the camp can explain, if he will, the troubling past that haunts the now fully grown ""war babies."" As Frederick Busch's relentless narrative bears down upon this complexity of betrayals, the lines between exploiter and exploited become eerily blurred."," Comics & Graphic Novels , General",New Directions,4.99,June,2001
How to Plant and Grow Annuals (How to Plant and Grow Series),"By Reilly, Ann",,,Gallery Books,4.99,March,1991
A Skeleton in God's Closet,"By Maier, Paul L.","When an ancient skeleton is discovered in Israel, will it shed new light on the life of Jesus or plunge the world into chaos?Dr. Jonathan Weber, Harvard professor and biblical scholar, is looking forward to his sabbatical year on an archaeological dig in Israel. But a spectacular find that seems to be an archaeologist's dream-come-true becomes a nightmare that many fear will be the death rattle of Christianity.Carefully researched and compellingly written, A Skeleton in God's Closet explores the tension between faith and doubt when science and religion collide. In the end, it’s a thought provoking page turner driven by one man's determination to find the truth—no matter what the cost."," Fiction , Religious",Thomas Nelson Publishers,4.99,January,1994
Words & Quilts: A Selection of Quilt Poems,"By Mitchell, Felicia (EDT)",," Poetry , General",Quilt Digest,5.41,October,1995
Home beermaking: The complete beginner's guidebook,"By Moore, William",,,Ferment Press,4.99,January,1991
"We Should Be So Lucky : Love, Sex, Food, and Fun After Forty from the Diva of QVC","By Levine, Kathy, Scovell, Jane, and Appleton, Amy Sarah","Kathy Levine brings us up to date on her personal life by telling all, and she means all, in a book that's as irresistible as an intimate diary accidentally left open to a juicy part.""Kathy dear,"" my mother said softly, ""you're never going to get a man with that ad. You're coming across bitchy.""Kathy Levine, star of TV selling, reduced to placing a personal ad? You bet. Did it get the response she wanted? Was her mother right? Discover the naked truth about this (mis)adventure and love after forty ...the date from hell, the romantic fling with a much younger man, the truly terrifying mistake; those weighty ups and downs ...including the hot skinny on the breakthrough diet program that changed Kathy's life; nips and tucks ...did she have cosmetic surgery? Kathy supplies the bare facts; personal tragedy ...the heartbreaking loss of the man who was her best friend; and QVC ...behind the scenes, then and now. Kathy gives us the scoop on the secrets of QVC's success, Joan Rivers, viewer mail, and some brand-new developments."," Family & Relationships , General",Atria Books,5.29,January,1997
"The Order of Things: Hierarchies, Structures, and Pecking Orders","By Kuklin, Susan",Provides firsthand accounts of young people describing their agonizing grief and struggle to understand and cope with the devastation following the suicide of a loved one," Young Adult Nonfiction , General",Random House Reference,6.48,November,1996
Dining with the Duchess: Making Everyday Meals a Special Occasion,"By York, Sarah Mountbatten-Windsor, Duchess of","Straight from the kitchen of the world's most famous Weight Watchers member, Sarah, The Duchess of York, come over 125 easy-to-prepare, guilt-free, mouthwatering recipes.Once harshly scrutinized by the unyielding glare of the media, The Duchess has come into her own as a chic, slimmed-down single mother with a new and exciting career. With her weight woes well behind her, she truly has become a role model for anyone who wishes to turn his or her life around. In fact, her triumph over adversity is just one reason why she is the perfect Weight Watchers member. Dining with The Duchess is a unique collaboration, combining the Duchess's taste and style with the culinary and dietary expertise of Weight Watchers. Organized into full menus to make planning any meal a breeze, each recipe includes these very special features: -Weight Watchers revolutionary POINTS® food system from the 1•2•3 Success® Weight Loss Plan -Basic nutritional breakdown important to any dieter -Helpful cooking hints and tips on presentation -No complicated counting and no forbidden foods Whether for a simple weeknight dinner or an elegant holiday feast, these menus make everyday meals a fine dining experience. Dining with The Duchess is the perfect cookbook for anyone who wants to prepare light, healthy, and delectable meals with distinction and flair."," Cooking , Health & Healing , General",Atria,4.99,May,1999
Introductory Linear Algebra With Applications,"By Kolman, Bernard and Hill, David R.",,,Macmillan Coll Div,7,January,1993
The search for Peking man,"By Janus, Christopher G.",,,MACMILLAN,5.29,January,1975
Intimate Matters: A History of Sexuality in America,"By Freedman, Estelle B. and D'Emilio, John","Traces changing American attitudes towards human sexuality, discusses social issues involving race, gender, class, and sexual preference, and looks at crusaders for sexual change"," Social Science , Sociology , General",Harper and Row,6.18,April,1988
Hollywood vs. America: The Explosive Bestseller that Shows How-and Why-the Entertainment Industry Has Broken Faith With Its Audience,"By Medved, Michael","Why does our popular culture seem so consistently hostile to the values that most Americans hold dear? Why does the entertainment industry attack religion, glorify brutality, undermine the family, and deride patriotism? In this explosive book, one of the nation's best known film critics examines how Hollywood has broken faith with its public, creating movies, television, and popular music that exacerbate every serious social problem we face, from teenage pregnancies to violence in the streets. Michael Medved powerfully argues that the entertainment business follows its own dark obsessions, rather than giving the public what it wants: In fact, the audience for feature films and network television has demonstrated its profound disillusionment in recent years, with disastrous consequences for many entertainment companies.  Meanwhile, overwhelming numbers of our fellow citizens complain about the wretched quality of our popular culture--describing the offerings of the mass media as the worst ever.  Medved asserts that Hollywood ignores--and assaults--the values of ordinary American families, pursuing a self-destructive and alienated ideological agenda that is harmful to the nation at large and to the industry's own interests. In hard-hitting chapters on ""The Attack on Religion,"" ""The Addiction to Violence,"" ""Promoting Promiscuity,"" ""The Infatuation with Foul Language,"" ""Kids Know Best,"" ""Motivations for Madness,"" and other subjects, Medved outlines the underlying themes that turn up again and again in our popular culture.  He also offers conclusive evidence of the frightening real-world impact of these messages on our society and our children. Finally, Medved shows where and how Hollywood took a disastrous wrong turn toward its current crisis, and he outlines promising efforts both in and outside the industry to restore a measure of sanity and restraint to our media of mass entertainment.Sure to elicit strong response, whether it takes the form of cheers of support or howls of enraged dissent, Hollywood vs. America confronts head-on one of the most significant issues of our times."," Social Science , Popular Culture",Harper Perennial,5.29,August,1993
Shaken Not Stirred,"By Miller, Anistatia R. and Brown, Jared M.","This first-of-its-kind volume features 40 ways to make a classic martini, 60 nouveau concoctions and a directory of the world's best martini lounges. Here, readers will discover the finer points of gin versus vodka, olive versus twist, shaken versus stirred, as well as brands of liquor, ratios of ingredients and every facet of this highly ritualized and specific cocktail. Also included are looks at and recipes for the weird and wonderful new offspring of the martini renaissance: chocolate and espresso martinis, the Cajun Combustion Engine, Martini Navratilova, Very Berry Martini, Pasini Express, Berlin Station Chief and many more. With sidebars featuring quotes from literature, toasts and historical points of interest, plus photos recalling great martini moments in film, politics, culture and advertising, Shaken Not Stirred is a fabulous celebration of a classic and very au courant international tradition."," Cooking , Beverages , Bartending",HarperCollins,4.99,April,1997
Henry Adams,"By Blackmur, R. P","An eminent American critic studies the work of Henry Adams, concentrating on his most fruitful decades--those that produced The Education and Mont-Saint-Michel and Chartres--and illuminating the depths of Adams's thought and spirit",,Harcourt,5.88,April,1980
A Hole in the Earth,"By Bausch, Robert","At the heart of this compelling novel about why men act the way they do is the profound and affecting story of a family, of what tears them apart and what can bring them back together.Henry Porter's summer begins when his daughter Nicole-whom he hasn't seen since his wife divorced him five years ago-shows up on his doorstep. Nicole is a surprise; just graduated from high school-almost an adult-the gap between the little girl Henry once knew and the woman she has become leaves him fumbling for words. Days after Nicole arrives, Henry's girlfriend, Elizabeth, reveals that she is pregnant. Henry is speechless at these two events, throwing into sharp relief his emotional landscape. He best deals with situations like these by heading off to the racetrack in time to make the daily double, and to place a few bets.As Rick Bass writes, ""a beautiful and aching novel, alarming in its wisdom and treatment of one of the great terrors, loneliness, and one of the great mercies, forgiveness."""," Fiction , Sagas",Harvest Books,6.07,August,2001
You Say You Want a Revolution : A Story of Information Age Politics,"By Hundt, Reed E.","This book is a unique account of the way politics has shaped the information age in America. Reed E. Hundt, chairman from 1993 to 1997 of the Federal Communications Commission, the nation’s chief regulatory agency for media and communications industries, tells of the battles for political advantage that lie behind the enormous creation of wealth and social changes that are generally called the “New Economy.” The central theme of the narrative is the surprising passage and fascinating implementation of the 1996 Telecommunications Act, which authorized the Federal Communications Commission to replace monopoly with competition and to guarantee access to the Internet to all Americans, including every child in every classroom.Depending on the leadership of his high school classmate Al Gore and finding unexpected allies in the ranks of free market ideologues, Hundt led the FCC to make the decisions that helped start a wave of entrepreneurship, which in turn has given the United States the world’s leading Internet economy. As the memoir shows, every decision involved prodigious political battles—between existing industries and start-ups, between Newt Gingrich and the Clinton-Gore White House, between inside-the-Beltway lobbyists and the new grassroots advocacy of e-mails, between the politics of money and the politics of ideas. In the same period, the often ignored and historically maligned FCC was the place where government decided whether to undertake the largest national initiative to reform K–12 education in the country’s history: the program to connect every classroom to the Internet by the year 2001.Hundt’s report from the political battlefield offers significant insight into the motives and personality not only of Al Gore but other prominent figures in political life, as well as many of the media moguls of our time. Told with great energy and wit, it is a tale that inspires both concern for and confidence in our democracy in the information age."," Political Science , Public Affairs & Administration",Yale University Press,5,March,2000
